[-t, /Users/hezhang/eclipse-workspace/train.arff, -T, ../test.arff, -K, -S, SKDB, -I, 1000, -L, 2, -E, 10, -M, -B]
Dataset : train
data size 	1864
Attribute size 	85
class size 	2

Started testing
testID:	Prob(0)	Prob(1)	Prediction	TrueClass
test example 0:	 0.67 	 0.33 	0	0
test example 1:	 0.67 	 0.33 	0	0
test example 2:	 0.681	 0.319	0	0
test example 3:	 0.608	 0.392	0	0
test example 4:	 0.982	 0.018	0	0
test example 5:	 0.681	 0.319	0	0
test example 6:	 0.67 	 0.33 	0	0
test example 7:	 0.493	 0.507	1	0
test example 8:	 0.982	 0.018	0	0
test example 9:	 0.67 	 0.33 	0	0
test example 10:	 0.681	 0.319	0	0
test example 11:	 0.982	 0.018	0	0
test example 12:	 0.871	 0.129	0	0
test example 13:	 0.681	 0.319	0	0
test example 14:	 0.681	 0.319	0	0
test example 15:	 0.982	 0.018	0	0
test example 16:	 0.681	 0.319	0	0
test example 17:	 0.608	 0.392	0	0
test example 18:	 0.67 	 0.33 	0	0
test example 19:	 0.681	 0.319	0	0
test example 20:	 0.871	 0.129	0	0
test example 21:	 0.681	 0.319	0	0
test example 22:	 0.681	 0.319	0	0
test example 23:	 0.67 	 0.33 	0	0
test example 24:	 0.493	 0.507	1	0
test example 25:	 0.67 	 0.33 	0	0
test example 26:	 0.681	 0.319	0	0
test example 27:	 0.694	 0.306	0	0
test example 28:	 0.493	 0.507	1	0
test example 29:	 0.608	 0.392	0	0
test example 30:	 0.681	 0.319	0	0
test example 31:	 0.871	 0.129	0	0
test example 32:	 0.67 	 0.33 	0	0
test example 33:	 0.982	 0.018	0	0
test example 34:	 0.871	 0.129	0	0
test example 35:	 0.493	 0.507	1	0
test example 36:	 0.982	 0.018	0	0
test example 37:	 0.67 	 0.33 	0	0
test example 38:	 0.67 	 0.33 	0	0
test example 39:	 0.608	 0.392	0	0
test example 40:	 0.493	 0.507	1	0
test example 41:	 0.67 	 0.33 	0	0
test example 42:	 0.67 	 0.33 	0	0
test example 43:	 0.681	 0.319	0	0
test example 44:	 0.67 	 0.33 	0	0
test example 45:	 0.493	 0.507	1	0
